organisation,sector,page_title,base_url,url,viewport_size,audit_id,page_id,audit_type,overflows,num_issues,overflow_amount_px
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Home | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/,"{'width': 320, 'height': 450}",13603_small,13603,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,About us | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us,"{'width': 320, 'height': 450}",13683_small,13683,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Our corporate documents | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/corporate-documents,"{'width': 320, 'height': 450}",14121_small,14121,ReflowAudit,TRUE,1,39
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Annual Report | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/corporate-documents/annual-report,"{'width': 320, 'height': 450}",15741_small,15741,ReflowAudit,TRUE,1,100
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Annual Report 2024/25 | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/corporate-documents/annual-report-202425,"{'width': 320, 'height': 450}",15946_small,15946,ReflowAudit,TRUE,1,100
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Statement of Intent 2026 | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/corporate-documents/soi/statement-of-intent-2026,"{'width': 320, 'height': 450}",15396_small,15396,ReflowAudit,TRUE,1,50
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Statement of Performance Expectations | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/corporate-documents/spe,"{'width': 320, 'height': 450}",16245_small,16245,ReflowAudit,TRUE,1,1
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Statement of Performance Expectations 2026 | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/corporate-documents/spe/2026,"{'width': 320, 'height': 450}",15595_small,15595,ReflowAudit,TRUE,1,100
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Statement of Performance Expectations 2027 | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/corporate-documents/spe/2027,"{'width': 320, 'height': 450}",15758_small,15758,ReflowAudit,TRUE,1,100
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,News and updates | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates,"{'width': 320, 'height': 450}",13838_small,13838,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Experiences of Care in Aotearoa 2022/2023 released | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/experiences-of-care-in-aotearoa-20222023-released,"{'width': 320, 'height': 450}",14573_small,14573,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media statement: Honouring Dame Karen Poutasi | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/honouring-dame-karen-poutasi,"{'width': 320, 'height': 450}",14493_small,14493,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Experiences of Care in Aotearoa 2021/2022 | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release,"{'width': 320, 'height': 450}",14673_small,14673,ReflowAudit,TRUE,1,100
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Access to Primary Health Services and Dental Care Report | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-2,"{'width': 320, 'height': 450}",15057_small,15057,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Experiences of Care in Aotearoa 2023/24 | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-26feb05,"{'width': 320, 'height': 450}",14168_small,14168,ReflowAudit,TRUE,1,23
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media Release: Oversight of oranga tamariki system agencies welcome establishment of Child Protection Investigation Unit | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-3,"{'width': 320, 'height': 450}",14451_small,14451,ReflowAudit,TRUE,1,24
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Oversight agencies call for urgent and continued focus on safety of children in State care following increase in number of children harmed | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-4,"{'width': 320, 'height': 450}",14983_small,14983,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Oversight agencies call for faster change to keep children safe following second review by Independent Children’s Monitor | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-5,"{'width': 320, 'height': 450}",14059_small,14059,ReflowAudit,TRUE,1,75
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Tamariki are still no safer now than when Malachi died – 24 more child deaths at hands of carers | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-6,"{'width': 320, 'height': 450}",14566_small,14566,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: National Care Standards Regulations still not being met – Experiences of Care in Aotearoa 2024/25 released | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-7,"{'width': 320, 'height': 450}",14328_small,14328,ReflowAudit,TRUE,1,23
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Returning Home From Care Report | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-improvements-needed-when-tamariki-are-returned-home-while-in-state-custody,"{'width': 320, 'height': 450}",14097_small,14097,ReflowAudit,TRUE,1,38
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Outcomes for tamariki and rangatahi Māori and their whānau in the oranga tamariki system 2023/24 | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-outcomes-202324,"{'width': 320, 'height': 450}",14918_small,14918,ReflowAudit,TRUE,1,23
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Outcomes for tamariki and rangatahi Māori and their whānau in the oranga tamariki system 2024/25 | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-outcomes-202425,"{'width': 320, 'height': 450}",14746_small,14746,ReflowAudit,TRUE,1,23
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Oversight agencies welcome first step in weaving stronger safety nets for children | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-oversight-agencies,"{'width': 320, 'height': 450}",14045_small,14045,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Response to Ombudsman’s Children in Care report | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-response,"{'width': 320, 'height': 450}",14216_small,14216,ReflowAudit,TRUE,1,29
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Response to Oranga Tamariki reports | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/media-release-response-to-oranga-tamariki-reports,"{'width': 320, 'height': 450}",14598_small,14598,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Media release: Poutasi review | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/poutasi-review,"{'width': 320, 'height': 450}",14476_small,14476,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Our history | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/our-origins,"{'width': 320, 'height': 450}",14388_small,14388,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Our values and policies | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/our-values-and-policies,"{'width': 320, 'height': 450}",13618_small,13618,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Child protection policy | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/our-values-and-policies/child-protection-policy,"{'width': 320, 'height': 450}",14899_small,14899,ReflowAudit,TRUE,1,1
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Code of ethics | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/our-values-and-policies/code-of-ethics,"{'width': 320, 'height': 450}",14759_small,14759,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Privacy statement | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/our-values-and-policies/privacy-statement,"{'width': 320, 'height': 450}",13808_small,13808,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Secondary legislation | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/our-values-and-policies/secondary-legislation,"{'width': 320, 'height': 450}",14338_small,14338,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Tauākī Matatapu | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/our-values-and-policies/tauaki-matatapu,"{'width': 320, 'height': 450}",14291_small,14291,ReflowAudit,TRUE,1,6
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Oversight system | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/oversight-system,"{'width': 320, 'height': 450}",13781_small,13781,ReflowAudit,TRUE,1,15
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Working for us | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/working-for-us,"{'width': 320, 'height': 450}",13657_small,13657,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,"Diversity, equity and inclusion plan | Aroturuki Tamariki | Independent Children’s Monitor",https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/working-for-us/dei,"{'width': 320, 'height': 450}",14188_small,14188,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Copyright | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/copyright,"{'width': 320, 'height': 450}",14163_small,14163,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Disclaimer | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/disclaimer,"{'width': 320, 'height': 450}",13672_small,13672,ReflowAudit,TRUE,1,3
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Contacts | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/getting-help,"{'width': 320, 'height': 450}",13636_small,13636,ReflowAudit,TRUE,1,27
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Glossary | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/glossary,"{'width': 320, 'height': 450}",14139_small,14139,ReflowAudit,FALSE,0,0
Aroturuki Tamariki,Crown Entities - Independent Crown Entities,Glossary | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/glossary/showterm/aotearoa,"{'width': 320, 'height': 450}",14681_small,14681,ReflowAudit,FALSE,0,0
