base_url,current_organisation,current_sector,in_2026_06_30,scans_seen,historical_names
https://28maoribattalion.org.nz/,Ministry for Culture and Heritage,Public Service Departments,true,6,Ministry for Culture and Heritage
https://aca-auprod.accela.com/NZPAM/Welcome.aspx,"Ministry of Business, Innovation and Employment",Public Service Departments,true,4,"Ministry of Business, Innovation and Employment"
https://acart.health.govt.nz/,Ministry of Health,Public Service Departments,true,3,Ministry of Health
https://airforcemuseum.co.nz/,New Zealand Defence Force,Non-Public Service Departments,true,6,New Zealand Defence Force
https://aml.dia.govt.nz/,Department of Internal Affairs,Public Service Departments,true,6,Department of Internal Affairs
https://annualreport2021.msd.govt.nz/,Ministry of Social Development,Public Service Departments,true,0,
https://anyquestions.govt.nz/,Department of Internal Affairs,Public Service Departments,true,6,Department of Internal Affairs
https://aotearoahistories.education.govt.nz/,Ministry of Education,Public Service Departments,true,6,Ministry of Education
https://api.doc.govt.nz/,Department of Conservation,Public Service Departments,true,6,Department of Conservation
https://api.msd.govt.nz/,Ministry of Social Development,Public Service Departments,true,6,Ministry of Social Development
https://app.birdbanding.doc.govt.nz/,Department of Conservation,Public Service Departments,true,6,Department of Conservation
https://app.businessregisters.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://app.insolvency.govt.nz/ui/public/search/dro-register,"Ministry of Business, Innovation and Employment",Public Service Departments,true,2,"Ministry of Business, Innovation and Employment"
https://app.insolvency.govt.nz/ui/public/search/insolvency-register,"Ministry of Business, Innovation and Employment",Public Service Departments,true,2,"Ministry of Business, Innovation and Employment"
https://app.iponz.govt.nz/app/extra/ip/tm/publicsearch/publicsearch.aspx?sid=639098611499880777&op=extra_tm_publicsearch&fcoop=extra_default,,,false,1,"Ministry of Business, Innovation and Employment"
https://app.iponz.govt.nz/app/TradeMarkCheck,"Ministry of Business, Innovation and Employment",Public Service Departments,true,1,"Ministry of Business, Innovation and Employment"
https://app.mbieregisters.govt.nz/iaa/ui/start/searchForAnOccupationalRegistration,"Ministry of Business, Innovation and Employment",Public Service Departments,true,0,
https://app.mbieregisters.govt.nz/mvtr/ui/start/searchTheRegister,"Ministry of Business, Innovation and Employment",Public Service Departments,true,0,
https://applications.education.govt.nz/,Ministry of Education,Public Service Departments,true,6,Ministry of Education
https://apply.immigration.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,0,
https://apply.justice.govt.nz/,Ministry of Justice,Public Service Departments,true,6,Ministry of Justice
https://apps.mpi.govt.nz,,,false,5,Ministry for Primary Industries
https://ar.getready.govt.nz/,National Emergency Management Agency,Public Service Departmental Agencies,true,2,National Emergency Management Agency
https://aria.stats.govt.nz/aria/,Statistics New Zealand,Public Service Departments,true,2,Statistics New Zealand
