scan_date,organisation,rule_id,issues,sites_affected
2025-06-30,Aroturuki Tamariki,color-contrast,14,1
2025-06-30,Aroturuki Tamariki,link-name,14,1
2025-06-30,Cancer Control Agency,color-contrast,4576,2
2025-06-30,Cancer Control Agency,document-title,4,1
2025-06-30,Cancer Control Agency,frame-title,4,1
2025-06-30,Cancer Control Agency,image-alt,700,2
2025-06-30,Cancer Control Agency,label,2,1
2025-06-30,Cancer Control Agency,link-in-text-block,8,1
2025-06-30,Cancer Control Agency,link-name,208,1
2025-06-30,Charter School Agency,link-name,4,1
2025-06-30,Crown Law Office,color-contrast,5635,1
2025-06-30,Crown Law Office,link-in-text-block,398,1
2025-06-30,Crown Law Office,link-name,20,1
2025-06-30,Crown Law Office,meta-viewport,162,1
2025-06-30,Crown Law Office,scrollable-region-focusable,1,1
2025-06-30,Department of Conservation,aria-allowed-attr,10,1
2025-06-30,Department of Conservation,aria-hidden-focus,8,1
2025-06-30,Department of Conservation,aria-progressbar-name,264,2
2025-06-30,Department of Conservation,aria-required-children,202,1
2025-06-30,Department of Conservation,aria-required-parent,317,1
2025-06-30,Department of Conservation,color-contrast,1835,6
2025-06-30,Department of Conservation,frame-title,40,2
2025-06-30,Department of Conservation,image-alt,27,4
2025-06-30,Department of Conservation,link-name,502,4
2025-06-30,Department of Conservation,list,332,2
2025-06-30,Department of Conservation,listitem,1317,1
2025-06-30,Department of Conservation,meta-viewport,6,2
2025-06-30,Department of Conservation,nested-interactive,20,1
2025-06-30,Department of Conservation,scrollable-region-focusable,26,2
2025-06-30,Department of Corrections,aria-hidden-focus,526,2
2025-06-30,Department of Corrections,aria-input-field-name,5,2
2025-06-30,Department of Corrections,aria-required-children,3,1
2025-06-30,Department of Corrections,color-contrast,328,4
2025-06-30,Department of Corrections,frame-title,48,2
2025-06-30,Department of Corrections,image-alt,10,2
2025-06-30,Department of Corrections,link-in-text-block,61,2
2025-06-30,Department of Corrections,link-name,53,2
2025-06-30,Department of Corrections,list,16,2
2025-06-30,Department of Corrections,nested-interactive,6,2
2025-06-30,Department of Corrections,scrollable-region-focusable,30,1
