scan_date,sector,pages_scanned,axe_issues,axe_serious,axe_critical,axe_issue_rows,axe_template_rows,focus_issues,reflow_pages,reflow_issues,broken_urls,language_pages,language_mean_fk,language_mean_smog
2025-06-30,Crown Entities - Crown Agents,647,2446,1852,594,2446,637,699,28,28,0,612,7.132,9.989
2025-06-30,Crown Entities - Independent Crown Entities,235,1728,1475,253,1728,393,764,148,148,0,354,10.184,12.65
2025-06-30,Non-Public Service Departments,1278,13296,10538,2758,13296,4934,2022,345,345,0,1245,9.065,11.789
2025-06-30,Public Service Departmental Agencies,1716,12820,11281,1539,12820,3286,268,344,344,0,1617,5.206,7.708
2025-06-30,Public Service Departments,18674,169983,132392,37591,169983,43966,31219,5142,5142,0,19269,9.238,11.984
2025-08-12,Crown Entities - Crown Agents,652,2440,1858,582,2440,773,0,0,0,0,0,,
2025-08-12,Crown Entities - Independent Crown Entities,235,1820,1565,255,1820,438,0,0,0,0,0,,
2025-08-12,Non-Public Service Departments,1284,14731,11712,3019,14731,5711,0,0,0,0,0,,
2025-08-12,Public Service Departmental Agencies,1708,13500,11927,1573,13500,3404,0,0,0,0,0,,
2025-08-12,Public Service Departments,19761,151764,109520,42244,151764,41082,0,0,0,0,0,,
2025-09-29,Crown Entities - Crown Agents,682,2355,1688,667,2355,644,804,34,34,0,582,7.152,10.035
2025-09-29,Crown Entities - Independent Crown Entities,236,1759,1501,258,1759,357,766,132,132,0,358,10.137,12.665
2025-09-29,Non-Public Service Departments,1285,14055,11255,2800,14055,4902,1962,325,325,0,1273,8.999,11.773
2025-09-29,Public Service Departmental Agencies,1350,13034,11447,1587,13034,3443,272,475,475,0,655,7.609,10.713
2025-09-29,Public Service Departments,20797,153516,122392,31124,153516,43500,35050,5540,5540,0,19796,9.238,12.048
2025-09-29,Public Service Interdepartmental Executive Boards,45,0,0,0,0,0,1,11,11,0,68,10.756,13.744
2025-12-17,Crown Entities - Crown Agents,766,2547,1930,617,2547,853,2110,44,44,0,662,7.421,10.213
2025-12-17,Crown Entities - Independent Crown Entities,237,1793,1526,267,1793,271,678,46,46,0,351,10.466,12.933
2025-12-17,Non-Public Service Departments,1290,12080,9483,2597,12080,3937,1997,369,369,0,1275,9.022,11.776
2025-12-17,Public Service Departmental Agencies,679,9954,8378,1576,9954,2486,378,197,197,0,572,8.524,11.311
2025-12-17,Public Service Departments,21428,135641,100368,35273,135641,34419,32692,5397,5397,0,20684,9.336,12.112
2025-12-17,Public Service Interdepartmental Executive Boards,50,0,0,0,0,0,2,11,11,0,76,10.912,13.886
2026-03-31,Crown Entities - Crown Agents,680,2659,2281,378,2659,841,0,56,56,15,629,7.468,10.482
2026-03-31,Crown Entities - Independent Crown Entities,237,735,684,51,735,192,0,41,41,11,344,10.234,12.739
2026-03-31,Non-Public Service Departments,1103,11455,9955,1300,11455,3537,0,276,276,99,1151,9.357,12.02
2026-03-31,Public Service Departmental Agencies,1580,9583,8102,1481,9583,2420,0,356,356,5,710,8.006,10.848
2026-03-31,Public Service Departments,21531,110168,88569,20058,110168,29822,0,5370,5370,1680,21273,9.329,12.103
2026-03-31,Public Service Interdepartmental Executive Boards,52,0,0,0,0,0,0,52,52,4,72,10.809,13.788
2026-06-30,Crown Entities - Crown Agents,1723,7511,6406,1105,7511,2095,0,101,101,0,1496,7.613,10.386
2026-06-30,Crown Entities - Independent Crown Entities,554,1792,1717,75,1792,420,0,101,101,0,862,10.451,12.882
2026-06-30,Non-Public Service Departments,2687,28547,22588,5359,28547,6473,0,678,678,0,3205,9.223,11.987
2026-06-30,Public Service Departmental Agencies,2453,9017,8166,851,9017,2110,0,631,631,0,1397,8.606,11.237
2026-06-30,Public Service Departments,47914,201812,163988,34302,201812,42071,0,10026,10026,0,46315,9.343,12.082
2026-06-30,Public Service Interdepartmental Executive Boards,54,0,0,0,0,0,0,54,54,0,74,10.721,13.701
