organisation,sector,page_title,base_url,url,viewport_size,audit_id,page_id,flesch_kincaid_gl,num_sentences,words_per_sentence,syllables_per_word,smog_gl,helpUrl
Aroturuki Tamariki,Public Service Departmental Agencies,Home | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/,"{'width': 320, 'height': 450}",343_small,343,5.815,29,11.724,1.426,9.582,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
Aroturuki Tamariki,Public Service Departmental Agencies,Home | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/,"{'width': 1280, 'height': 800}",343_medium,343,5.815,29,11.724,1.426,9.582,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
Aroturuki Tamariki,Public Service Departmental Agencies,About us | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us,"{'width': 320, 'height': 450}",481_small,481,12.165,70,25.057,1.524,14.244,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
Aroturuki Tamariki,Public Service Departmental Agencies,About us | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us,"{'width': 1280, 'height': 800}",481_medium,481,12.165,70,25.057,1.524,14.244,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
Aroturuki Tamariki,Public Service Departmental Agencies,Our corporate documents | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/corporate-documents,"{'width': 320, 'height': 450}",376_small,376,7.533,82,8.085,1.692,10.377,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
Aroturuki Tamariki,Public Service Departmental Agencies,Our corporate documents | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/corporate-documents,"{'width': 1280, 'height': 800}",376_medium,376,7.533,82,8.085,1.692,10.377,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
Aroturuki Tamariki,Public Service Departmental Agencies,Annual Report | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/corporate-documents/annual-report,"{'width': 320, 'height': 450}",1048_small,1048,11.8,532,23.321,1.55,14.049,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
Aroturuki Tamariki,Public Service Departmental Agencies,Annual Report | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/corporate-documents/annual-report,"{'width': 1280, 'height': 800}",1048_medium,1048,11.8,532,23.321,1.55,14.049,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
Aroturuki Tamariki,Public Service Departmental Agencies,News and updates | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates,"{'width': 320, 'height': 450}",1110_small,1110,10.225,63,20.397,1.514,13.128,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
Aroturuki Tamariki,Public Service Departmental Agencies,News and updates | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates,"{'width': 1280, 'height': 800}",1110_medium,1110,10.225,63,20.397,1.514,13.128,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
Aroturuki Tamariki,Public Service Departmental Agencies,Media release: Experiences of Care in Aotearoa 2022/2023 released | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/experiences-of-care-in-aotearoa-20222023-released,"{'width': 320, 'height': 450}",1772_small,1772,12.307,51,27.078,1.469,13.921,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
Aroturuki Tamariki,Public Service Departmental Agencies,Media release: Experiences of Care in Aotearoa 2022/2023 released | Aroturuki Tamariki | Independent Children’s Monitor,https://aroturuki.govt.nz/,https://aroturuki.govt.nz/about-us/news-and-updates/experiences-of-care-in-aotearoa-20222023-released,"{'width': 1280, 'height': 800}",1772_medium,1772,12.307,51,27.078,1.469,13.921,https://www.digital.govt.nz/standards-and-guidance/design-and-ux/content-design-guidance/writing-style/plain-language/
