organisation,base_url,number_of_pages,sector
Aroturuki Tamariki,https://aroturuki.govt.nz/,100,Crown Entities - Independent Crown Entities
Cancer Control Agency,https://kupe.net.nz/,17,Public Service Departmental Agencies
Cancer Control Agency,https://teaho.govt.nz/,100,Public Service Departmental Agencies
Charter School Agency,https://www.charterschools.govt.nz/,27,Public Service Departmental Agencies
Crown Law Office,https://www.crownlaw.govt.nz/,84,Public Service Departments
Department of Conservation,https://api.doc.govt.nz/,1,Public Service Departments
Department of Conservation,https://app.birdbanding.doc.govt.nz/,3,Public Service Departments
Department of Conservation,https://blog.doc.govt.nz/,100,Public Service Departments
Department of Conservation,https://bookings.doc.govt.nz/web/,4,Public Service Departments
Department of Conservation,https://deptconservation.maps.arcgis.com/apps/webappviewer/index.html?id=4299ffa07de9451994681b43b60ad95b,1,Public Service Departments
Department of Conservation,https://doc.wd105.myworkdayjobs.com/en-US/DOC/,100,Public Service Departments
Department of Conservation,https://doc-deptconservation.opendata.arcgis.com/,1,Public Service Departments
Department of Conservation,https://ftp.doc.govt.nz/login,2,Public Service Departments
Department of Conservation,https://kakapo-recovery.raiselysite.com/,100,Public Service Departments
Department of Conservation,https://maps.doc.govt.nz/externalmaps/index.html?viewer=docmaps,1,Public Service Departments
Department of Conservation,https://maps.doc.govt.nz/externalmaps/index.html?viewer=pesticidesummary,1,Public Service Departments
Department of Conservation,https://maps.doc.govt.nz/externalmaps/index.html?viewer=whio,1,Public Service Departments
Department of Conservation,https://nztcs.org.nz/,100,Public Service Departments
Department of Conservation,https://paymyinfringement.doc.govt.nz/,1,Public Service Departments
Department of Conservation,https://permits-licences.doc.govt.nz/,19,Public Service Departments
Department of Conservation,https://storymaps.arcgis.com/stories/907003437c504c9e9402420d05d59aeb,1,Public Service Departments
Department of Conservation,https://www.doc.govt.nz/,100,Public Service Departments
Department of Corrections,https://careers.corrections.govt.nz/,100,Public Service Departments
Department of Corrections,https://inspectorate.corrections.govt.nz/,100,Public Service Departments
Department of Corrections,https://mahi.corrections.govt.nz/,24,Public Service Departments
Department of Corrections,https://www.corrections.govt.nz/,100,Public Service Departments
Department of Corrections,https://www.paroleboard.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://aml.dia.govt.nz/,5,Public Service Departments
Department of Internal Affairs,https://anyquestions.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://bdmhistoricalrecords.dia.govt.nz/,27,Public Service Departments
Department of Internal Affairs,https://bdmonline.dia.govt.nz/,11,Public Service Departments
Department of Internal Affairs,https://canterbury.royalcommission.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://catalogue.data.govt.nz/dataset,100,Public Service Departments
Department of Internal Affairs,https://celebrants.dia.govt.nz/,2,Public Service Departments
Department of Internal Affairs,https://certificates.services.govt.nz/,3,Public Service Departments
Department of Internal Affairs,https://christchurchattack.royalcommission.nz/,100,Public Service Departments
Department of Internal Affairs,https://collections.archives.govt.nz/,51,Public Service Departments
Department of Internal Affairs,https://data.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://deathdocs.services.govt.nz/,9,Public Service Departments
Department of Internal Affairs,https://developers.realme.govt.nz/,58,Public Service Departments
Department of Internal Affairs,https://dia.services.govt.nz/,6,Public Service Departments
Department of Internal Affairs,https://digitalnz.org/,0,Public Service Departments
Department of Internal Affairs,https://docref.digital.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://earlylearning.services.govt.nz/,42,Public Service Departments
Department of Internal Affairs,https://endoflife.services.govt.nz/,10,Public Service Departments
Department of Internal Affairs,https://fa-eqqg-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/,67,Public Service Departments
Department of Internal Affairs,https://gazette.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://govtnz.github.io/web-a11y-guidance/,100,Public Service Departments
Department of Internal Affairs,https://granted.govt.nz/,1,Public Service Departments
Department of Internal Affairs,https://jobs.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://mentalhealth.inquiry.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://natlib.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://natlib.govt.nz/support-us/te-puna-foundation/,7,Public Service Departments
Department of Internal Affairs,https://operationburnham.inquiry.govt.nz/,84,Public Service Departments
Department of Internal Affairs,https://paperspast.natlib.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://pikeriver.royalcommission.govt.nz/,64,Public Service Departments
Department of Internal Affairs,https://readingambassador.nz/,0,Public Service Departments
Department of Internal Affairs,https://register.charities.govt.nz/CharitiesRegister/Search,1,Public Service Departments
Department of Internal Affairs,https://smartstart.services.govt.nz/,33,Public Service Departments
Department of Internal Affairs,https://theinteryeti.govt.nz/,1,Public Service Departments
Department of Internal Affairs,https://webarchive.natlib.govt.nz/,6,Public Service Departments
Department of Internal Affairs,https://wheturangitia.services.govt.nz/,47,Public Service Departments
Department of Internal Affairs,https://www.7726.govt.nz/,6,Public Service Departments
Department of Internal Affairs,https://www.abuseincare.org.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.archives.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.ata.govt.nz/web/cms_ata.nsf/,62,Public Service Departments
Department of Internal Affairs,https://www.beehive.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.charities.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.christchurchappealtrust.org.nz,25,Public Service Departments
Department of Internal Affairs,https://www.communitymatters.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.covid19lessons.royalcommission.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.dia.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.digital.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.gamblingaotearoa.govt.nz/,2,Public Service Departments
Department of Internal Affairs,https://www.gamblingcommission.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.keepitrealonline.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.lgc.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.marketplace.govt.nz/,100,Public Service Departments
Department of Internal Affairs,https://www.passports.govt.nz/,30,Public Service Departments
Department of Internal Affairs,https://www.realme.govt.nz/,51,Public Service Departments
Department of Internal Affairs,https://www.reportspam.co.nz/,3,Public Service Departments
Department of Internal Affairs,https://www.stv.govt.nz/index.shtml,13,Public Service Departments
Department of Internal Affairs,https://www.survivorexperiences.govt.nz/,38,Public Service Departments
Department of the Prime Minister and Cabinet,https://careers.dpmc.govt.nz/search,0,Public Service Departments
Department of the Prime Minister and Cabinet,https://consultation.dpmc.govt.nz/,39,Public Service Departments
Department of the Prime Minister and Cabinet,https://gg.govt.nz/,100,Public Service Departments
Department of the Prime Minister and Cabinet,https://www.dpmc.govt.nz/,100,Public Service Departments
Education Review Office,https://www.ero.govt.nz/,100,Public Service Departments
Education Review Office,https://www.evidence.ero.govt.nz/,100,Public Service Departments
Family Violence and Sexual Violence Executive Board,https://preventfvsv.govt.nz/,52,Public Service Interdepartmental Executive Boards
Financial Markets Authority,https://fadc.govt.nz/,16,Crown Entities - Independent Crown Entities
Financial Markets Authority,https://financialadvicecode.govt.nz,13,Crown Entities - Independent Crown Entities
Financial Markets Authority,https://fintech.govt.nz,8,Crown Entities - Independent Crown Entities
Financial Markets Authority,https://www.fma.govt.nz/,100,Crown Entities - Independent Crown Entities
Government Communications Security Bureau,https://beyondordinary.nzic.govt.nz/,27,Public Service Departments
Government Communications Security Bureau,https://nzism.gcsb.govt.nz/,35,Public Service Departments
Government Communications Security Bureau,https://www.gcsb.govt.nz/,100,Public Service Departments
Government Communications Security Bureau,https://www.ncsc.govt.nz/,100,Public Service Departments
Government Communications Security Bureau,https://www.nzic.govt.nz/,3,Public Service Departments
